AlertID,VehicleID,AlertType,Severity,GeneratedAt,Status,ResolvedAt
1,105,EV Motor Efficiency Drop,Medium,2025-01-01 16:59:50,Resolved,2025-04-15 20:55:57
2,116,"Scheduled Service Overdue (5,000 km)",Low,2024-07-29 19:01:55,Open,
3,98,Oil Life < 10%,Critical,2023-04-02 18:23:00,In Progress,
4,39,Tyre Pressure Low (Rear Right),High,2023-06-12 12:06:01,In Progress,
5,70,ABS Sensor Fault Detected,Medium,2022-07-15 21:25:10,Acknowledged,
6,59,Battery Charge Below 15%,Low,2025-03-19 19:27:54,Acknowledged,
7,91,Refrigeration Unit Temperature Drift,Critical,2022-10-16 16:45:30,Resolved,2023-03-10 13:33:31
8,107,Coolant Level Low,Medium,2024-02-21 11:21:40,Acknowledged,
9,157,High-Voltage Battery Degradation,Low,2023-02-21 22:18:21,Resolved,2025-05-28 10:23:36
10,17,DPF Filter 90% Full,Low,2024-06-27 19:15:13,Dismissed,
11,81,"Scheduled Service Overdue (5,000 km)",High,2025-01-31 14:35:21,Resolved,2025-03-15 12:57:08
12,162,High-Voltage Battery Degradation,High,2023-09-12 13:52:52,Acknowledged,
13,5,ABS Sensor Fault Detected,Medium,2022-12-13 18:48:09,Resolved,2023-03-07 22:31:29
14,18,Battery Charge Below 15%,Medium,2023-07-01 14:45:09,In Progress,
15,122,"Scheduled Service Overdue (5,000 km)",Medium,2022-06-07 16:22:52,Resolved,2023-04-03 14:20:31
16,155,Refrigeration Unit Temperature Drift,Critical,2023-07-15 12:59:38,Resolved,2024-05-13 07:47:56
17,135,Engine Temperature Anomaly,High,2023-12-31 13:50:24,In Progress,
18,77,EV Motor Efficiency Drop,Medium,2023-03-23 15:01:01,Resolved,2025-05-12 19:05:23
19,199,Tyre Pressure Low (Front Left),Critical,2023-03-30 20:40:24,Resolved,2024-11-28 20:48:20
20,71,"Scheduled Service Overdue (5,000 km)",Medium,2023-07-11 20:18:10,Resolved,2024-06-06 06:07:03
21,142,Engine Temperature Anomaly,Medium,2023-03-18 16:53:46,In Progress,
22,161,"Scheduled Service Overdue (5,000 km)",Medium,2024-03-25 18:11:20,Resolved,2025-04-19 07:41:18
23,145,Brake Wear Critical,High,2022-08-20 22:03:46,Resolved,2023-01-03 21:04:59
24,36,Check Engine Light Active,Low,2025-05-06 11:45:15,Open,
25,92,Battery Charge Below 15%,Medium,2024-09-23 16:48:04,In Progress,
26,135,Refrigeration Unit Temperature Drift,Medium,2024-08-19 10:35:52,Open,
27,115,DPF Filter 90% Full,Low,2023-11-17 13:15:03,Resolved,2023-12-12 07:41:53
28,123,"Scheduled Service Overdue (5,000 km)",Low,2023-08-23 13:09:55,Open,
29,83,Engine Temperature Anomaly,Medium,2024-08-19 06:32:48,Acknowledged,
30,172,Engine Temperature Anomaly,High,2024-09-27 08:02:12,Resolved,2024-11-20 13:37:31
31,90,Refrigeration Unit Temperature Drift,High,2024-06-23 22:57:53,Acknowledged,
32,39,Oil Life < 10%,Medium,2023-12-29 14:35:23,In Progress,
33,52,EV Motor Efficiency Drop,High,2023-11-07 16:12:20,Resolved,2024-12-14 09:41:18
34,8,Alternator Output Low,Medium,2025-04-14 18:13:11,Open,
35,28,Transmission Fluid Degraded,High,2023-07-27 12:48:36,Resolved,2024-05-28 12:56:37
36,93,Engine Temperature Anomaly,Medium,2023-09-14 14:13:32,Open,
37,56,"Scheduled Service Overdue (5,000 km)",High,2024-04-14 12:31:46,In Progress,
38,118,Tyre Pressure Low (Front Left),Critical,2023-05-05 21:30:35,Resolved,2025-03-19 13:04:39
39,1,EV Motor Efficiency Drop,Critical,2022-09-11 06:17:59,Open,
40,98,Refrigeration Unit Temperature Drift,High,2023-04-23 09:03:23,Acknowledged,
41,109,Transmission Fluid Degraded,High,2024-07-03 08:17:26,Resolved,2024-12-03 07:57:07
42,37,Tyre Pressure Low (Front Left),Medium,2023-07-25 09:58:40,Resolved,2023-08-26 21:11:00
43,23,Tyre Pressure Low (Rear Right),High,2024-12-19 14:17:01,Resolved,2025-04-21 08:46:44
44,56,EV Motor Efficiency Drop,Low,2024-07-12 06:02:31,In Progress,
45,106,ABS Sensor Fault Detected,Low,2022-06-28 07:42:04,Dismissed,
46,182,ABS Sensor Fault Detected,Medium,2025-02-06 12:51:17,Open,
47,49,Battery Charge Below 15%,Medium,2024-12-04 06:41:02,Resolved,2025-03-26 21:50:14
48,74,Check Engine Light Active,Medium,2024-06-22 20:52:30,In Progress,
49,169,Oil Life < 10%,Critical,2023-03-26 16:47:40,Acknowledged,
50,149,High-Voltage Battery Degradation,Medium,2025-01-13 17:49:18,Open,
51,173,Tyre Pressure Low (Rear Right),Medium,2024-06-07 19:05:38,Acknowledged,
52,86,Tyre Pressure Low (Rear Right),Critical,2025-01-11 20:48:34,Resolved,2025-02-23 07:21:32
